gene,compare,medianP,meanlogFC,DEGtype,Gene_Name,
ENSG00000268521,F7/D6,0.3,-0.211,non-DEG,VN1R83P,
ENSG00000268573,F7/D6,0.000565,0.493,non-DEG,,
ENSG00000268686,F7/D6,0.00617,1.711,up-regulate,,
ENSG00000268743,F7/D6,0.0829,0.559,non-DEG,,
ENSG00000268804,F7/D6,0.0155,-1.311,down-regulate,LINC02132,
ENSG00000268812,F7/D6,0.0275,1.185,up-regulate,LIF-AS2,
ENSG00000268861,F7/D6,0.194,-0.217,non-DEG,NA,
ENSG00000268895,F7/D6,0.0184,-0.568,non-DEG,A1BG-AS1,
ENSG00000268903,F7/D6,0.0029,-0.688,non-DEG,,
ENSG00000268947,F7/D6,0.15,0.359,non-DEG,,
ENSG00000268975,F7/D6,0.0732,-1.169,down-regulate,MIA-RAB4B,
ENSG00000269001,F7/D6,0.115,1.807,up-regulate,ZNF818P,
ENSG00000269050,F7/D6,0.112,0.522,non-DEG,,
ENSG00000269190,F7/D6,0.000128,-2.337,down-regulate,FBXO17,
ENSG00000269220,F7/D6,0.0306,-0.227,non-DEG,LINC00528,
ENSG00000269226,F7/D6,0.000898,-0.821,non-DEG,TMSB15B,
ENSG00000269293,F7/D6,0.136,0.238,non-DEG,ZSCAN16-AS1,
ENSG00000269343,F7/D6,0.0285,-0.17,non-DEG,ZNF587B,
ENSG00000269378,F7/D6,0.0567,0.528,non-DEG,ITGB1P1,
ENSG00000269388,F7/D6,0.00866,-0.661,non-DEG,,
ENSG00000269399,F7/D6,0.0638,0.328,non-DEG,,
ENSG00000269404,F7/D6,0.165,-0.189,non-DEG,SPIB,
ENSG00000269420,F7/D6,0.0196,1.127,up-regulate,PLA2G4C-AS1,
ENSG00000269439,F7/D6,0.0942,0.211,non-DEG,PGLS-DT,
ENSG00000269514,F7/D6,0.143,0.207,non-DEG,,
ENSG00000269553,F7/D6,0.00184,0.408,non-DEG,,
ENSG00000269609,F7/D6,0.00121,0.333,non-DEG,C10orf95-AS1,
ENSG00000269680,F7/D6,0.158,0.366,non-DEG,,
ENSG00000269688,F7/D6,0.000295,-0.828,down-regulate,,
ENSG00000269696,F7/D6,0.0158,-1.006,down-regulate,ZNF470-DT,
ENSG00000269713,F7/D6,0.0333,0.148,non-DEG,NBPF9,
ENSG00000269720,F7/D6,0.137,-0.263,non-DEG,CCDC194,
ENSG00000269737,F7/D6,3.71E-06,1.124,up-regulate,,
ENSG00000269743,F7/D6,0.0176,-0.354,non-DEG,SLC25A53,
ENSG00000269800,F7/D6,0.183,0.253,non-DEG,PLEKHA3P1,
ENSG00000269821,F7/D6,8.18E-06,0.482,non-DEG,KCNQ1OT1,
ENSG00000269825,F7/D6,0.0178,-0.289,non-DEG,,
ENSG00000269834,F7/D6,0.000213,-0.783,non-DEG,ZNF528-AS1,
ENSG00000269837,F7/D6,0.00521,-0.356,non-DEG,IPO5P1,
ENSG00000269845,F7/D6,0.0112,-0.797,non-DEG,CCNYL6,
ENSG00000269858,F7/D6,0.104,-0.197,non-DEG,EGLN2,
ENSG00000269893,F7/D6,0.0657,0.135,non-DEG,SNHG8,
ENSG00000269902,F7/D6,0.0104,-0.826,non-DEG,,
ENSG00000269906,F7/D6,0.018,0.46,non-DEG,,
ENSG00000269911,F7/D6,0.0176,0.935,up-regulate,FAM226B,
ENSG00000269919,F7/D6,0.0293,-0.68,non-DEG,,
ENSG00000269930,F7/D6,0.0216,0.736,non-DEG,,
ENSG00000269937,F7/D6,0.00466,-0.373,non-DEG,,
ENSG00000269951,F7/D6,0.141,0.255,non-DEG,,
ENSG00000269968,F7/D6,0.0155,0.42,non-DEG,,
ENSG00000269981,F7/D6,0.0184,-0.632,non-DEG,,
ENSG00000269984,F7/D6,0.0601,0.266,non-DEG,,
ENSG00000270012,F7/D6,0.0748,0.229,non-DEG,,
ENSG00000270015,F7/D6,1.61E-05,0.662,non-DEG,NA,
ENSG00000270016,F7/D6,0.155,0.55,non-DEG,,
ENSG00000270022,F7/D6,0.000858,-0.75,non-DEG,,
ENSG00000270025,F7/D6,2.25E-06,-1.692,down-regulate,BMS1P7,
ENSG00000270049,F7/D6,0.0589,0.234,non-DEG,ATP6V0D1-DT,
ENSG00000270062,F7/D6,0.0241,-0.377,non-DEG,,
ENSG00000270069,F7/D6,4.22E-05,-0.976,down-regulate,MIR222HG,
ENSG00000270091,F7/D6,0.174,-0.347,non-DEG,,
ENSG00000270116,F7/D6,0.0701,0.503,non-DEG,,
ENSG00000270120,F7/D6,0.266,0.201,non-DEG,,
ENSG00000270127,F7/D6,0.000691,-0.531,non-DEG,,
ENSG00000270149,F7/D6,0.137,0.263,non-DEG,,
ENSG00000270157,F7/D6,0.0881,0.135,non-DEG,,
ENSG00000270164,F7/D6,0.0211,0.235,non-DEG,LINC01480,
ENSG00000270165,F7/D6,0.0971,0.446,non-DEG,,
ENSG00000270184,F7/D6,0.0904,0.379,non-DEG,,
ENSG00000270194,F7/D6,0.0419,0.218,non-DEG,GOLGA4-AS1,
ENSG00000270231,F7/D6,0.0014,-0.189,non-DEG,NBPF8,
ENSG00000270270,F7/D6,0.286,-0.281,non-DEG,BNIP3P10,
ENSG00000270276,F7/D6,0.0949,-0.332,non-DEG,H4C15,
ENSG00000270277,F7/D6,0.00822,-0.329,non-DEG,,
ENSG00000270332,F7/D6,0.0858,0.295,non-DEG,SMC2-DT,
ENSG00000270392,F7/D6,0.00013,0.686,non-DEG,PFN1P2,
ENSG00000270419,F7/D6,0.0184,0.721,non-DEG,CAHM,
ENSG00000270426,F7/D6,0.229,-0.218,non-DEG,,
ENSG00000270427,F7/D6,0.146,0.288,non-DEG,NRBF2P5,
ENSG00000270505,F7/D6,0.000469,-0.717,non-DEG,IGHV1OR15-1,
ENSG00000270550,F7/D6,4.61E-09,-3.601,down-regulate,IGHV3-30,
ENSG00000270574,F7/D6,0.000499,-0.572,non-DEG,,
ENSG00000270580,F7/D6,0.00536,0.328,non-DEG,,
ENSG00000270585,F7/D6,0.178,0.288,non-DEG,SNX2P1,
ENSG00000270629,F7/D6,0.0166,-0.256,non-DEG,NBPF14,
ENSG00000270647,F7/D6,0.0809,-0.114,non-DEG,TAF15,
ENSG00000270681,F7/D6,0.000176,1.263,up-regulate,,
ENSG00000270689,F7/D6,0.0214,-1.228,down-regulate,BUD13P1,
ENSG00000270704,F7/D6,0.271,0.317,non-DEG,NA,
ENSG00000270708,F7/D6,0.0525,-0.466,non-DEG,,
ENSG00000270728,F7/D6,0.0562,0.614,non-DEG,,
ENSG00000270804,F7/D6,0.25,-0.2,non-DEG,,
ENSG00000270872,F7/D6,0.01,-0.73,non-DEG,SRGAP2D,
ENSG00000270882,F7/D6,0.257,-0.357,non-DEG,H4C14,
ENSG00000270933,F7/D6,0.102,-0.204,non-DEG,,
ENSG00000270956,F7/D6,0.0533,-0.319,non-DEG,,
ENSG00000270964,F7/D6,0.0995,-0.371,non-DEG,MAP2K5-DT,
ENSG00000271011,F7/D6,0.0267,-0.632,non-DEG,,
ENSG00000271032,F7/D6,0.121,0.607,non-DEG,,
ENSG00000271046,F7/D6,0.00326,-1.494,down-regulate,,
ENSG00000271079,F7/D6,0.000911,0.711,non-DEG,CTAGE15,
ENSG00000271105,F7/D6,0.00556,1.264,up-regulate,SCML2P2,
ENSG00000271119,F7/D6,0.00787,0.548,non-DEG,,
ENSG00000271133,F7/D6,0.104,0.309,non-DEG,ITGB8-AS1,
ENSG00000271141,F7/D6,0.00283,-0.707,non-DEG,,
ENSG00000271147,F7/D6,0.17,-0.264,non-DEG,ARMCX5-GPRASP2,
ENSG00000271204,F7/D6,0.0176,-0.413,non-DEG,,
ENSG00000271267,F7/D6,0.0343,0.471,non-DEG,,
ENSG00000271303,F7/D6,0.0109,-0.263,non-DEG,SRXN1,
ENSG00000271321,F7/D6,0.0142,0.443,non-DEG,CTAGE6,
ENSG00000271324,F7/D6,0.13,0.949,up-regulate,NA,
ENSG00000271344,F7/D6,0.0317,-0.9,non-DEG,,
ENSG00000271366,F7/D6,0.0806,0.704,non-DEG,,
ENSG00000271383,F7/D6,0.0227,-0.139,non-DEG,NBPF19,
ENSG00000271401,F7/D6,0.0999,-0.615,non-DEG,,
ENSG00000271425,F7/D6,0.00268,-0.279,non-DEG,NBPF10,
ENSG00000271503,F7/D6,0.00607,0.673,non-DEG,CCL5,
ENSG00000271538,F7/D6,9.76E-06,2.529,up-regulate,LINC02427,
ENSG00000271550,F7/D6,0.113,0.282,non-DEG,BNIP3P11,
ENSG00000271576,F7/D6,0.00207,0.661,non-DEG,PRKACB-DT,
ENSG00000271581,F7/D6,0.0381,-0.564,non-DEG,,
ENSG00000271601,F7/D6,0.0007,0.258,non-DEG,LIX1L,
ENSG00000271614,F7/D6,0.0433,0.265,non-DEG,ATP2B1-AS1,
ENSG00000271680,F7/D6,0.0678,-0.448,non-DEG,,
ENSG00000271699,F7/D6,0.0361,0.515,non-DEG,SNX29P2,
ENSG00000271714,F7/D6,0.105,0.839,up-regulate,,
ENSG00000271763,F7/D6,0.000272,2.082,up-regulate,,
ENSG00000271833,F7/D6,0.0744,0.307,non-DEG,,
ENSG00000271851,F7/D6,0.178,0.159,non-DEG,,
ENSG00000271856,F7/D6,4.28E-08,1.227,up-regulate,LINC01215,
ENSG00000271870,F7/D6,0.228,0.193,non-DEG,,
ENSG00000271871,F7/D6,0.0403,-0.572,non-DEG,,
ENSG00000271959,F7/D6,0.0474,0.607,non-DEG,,
ENSG00000271964,F7/D6,0.0987,-0.258,non-DEG,,
ENSG00000271966,F7/D6,0.298,0.414,non-DEG,ARFGEF1-DT,
ENSG00000271976,F7/D6,0.0711,0.142,non-DEG,,
ENSG00000271992,F7/D6,0.0791,-0.361,non-DEG,,
ENSG00000271993,F7/D6,0.145,0.45,non-DEG,,
ENSG00000271998,F7/D6,0.302,-0.271,non-DEG,,
ENSG00000272008,F7/D6,0.0127,-0.396,non-DEG,,
ENSG00000272031,F7/D6,0.00461,0.614,non-DEG,ANKRD34A,
ENSG00000272068,F7/D6,0.00902,0.541,non-DEG,BCAN-AS1,
ENSG00000272070,F7/D6,0.011,-0.589,non-DEG,,
ENSG00000272077,F7/D6,0.0668,-0.22,non-DEG,,
ENSG00000272078,F7/D6,0.133,-0.24,non-DEG,,
ENSG00000272097,F7/D6,0.352,0.241,non-DEG,TMEM14B-DT,
ENSG00000272138,F7/D6,0.091,0.568,non-DEG,LINC01607,
ENSG00000272143,F7/D6,0.169,0.627,up-regulate,FGF14-AS2,
ENSG00000272153,F7/D6,0.349,-0.136,non-DEG,,
ENSG00000272155,F7/D6,0.129,-0.328,non-DEG,,
ENSG00000272168,F7/D6,0.0966,0.414,non-DEG,CASC15,
ENSG00000272173,F7/D6,0.0444,-0.251,non-DEG,,
ENSG00000272186,F7/D6,0.163,0.048,non-DEG,VPS11-DT,
ENSG00000272195,F7/D6,0.0642,0.42,non-DEG,,
ENSG00000272196,F7/D6,5.70E-05,-0.468,non-DEG,NA,
ENSG00000272211,F7/D6,0.148,0.228,non-DEG,,
ENSG00000272221,F7/D6,0.000366,-1.205,down-regulate,,
ENSG00000272240,F7/D6,0.0822,0.281,non-DEG,,
ENSG00000272259,F7/D6,0.0029,1.146,up-regulate,LINC01749,
ENSG00000272264,F7/D6,0.122,-0.396,non-DEG,,
ENSG00000272316,F7/D6,0.000929,0.405,non-DEG,,
ENSG00000272325,F7/D6,0.271,0.157,non-DEG,NUDT3,
ENSG00000272398,F7/D6,2.54E-05,-1.458,down-regulate,CD24,
ENSG00000272405,F7/D6,0.0154,0.337,non-DEG,,
ENSG00000272420,F7/D6,0.0553,-0.709,non-DEG,,
ENSG00000272426,F7/D6,0.109,-0.665,down-regulate,,
ENSG00000272444,F7/D6,0.143,0.404,non-DEG,,
ENSG00000272449,F7/D6,0.135,0.167,non-DEG,,
ENSG00000272455,F7/D6,0.0638,0.298,non-DEG,MRPL20-DT,
ENSG00000272501,F7/D6,4.98E-05,-0.833,non-DEG,,
ENSG00000272518,F7/D6,0.141,0.213,non-DEG,,
ENSG00000272556,F7/D6,0.106,-0.166,non-DEG,GTF2IP13,
ENSG00000272602,F7/D6,2.97E-05,-0.894,non-DEG,ZNF595,
ENSG00000272625,F7/D6,0.0162,0.844,non-DEG,,
ENSG00000272631,F7/D6,0.00191,0.744,non-DEG,,
ENSG00000272645,F7/D6,0.000568,0.361,non-DEG,GTF2IP20,
ENSG00000272655,F7/D6,0.384,0.147,non-DEG,,
ENSG00000272668,F7/D6,0.0408,1.112,up-regulate,,
ENSG00000272669,F7/D6,0.119,0.199,non-DEG,,
ENSG00000272686,F7/D6,0.0293,0.332,non-DEG,WASL-DT,
ENSG00000272734,F7/D6,0.00155,0.952,up-regulate,ADIRF-AS1,
ENSG00000272752,F7/D6,0.0122,-0.305,non-DEG,STAG3L5P-PVRIG2P-PILRB,
ENSG00000272798,F7/D6,0.0449,0.769,non-DEG,,
ENSG00000272812,F7/D6,0.0967,0.284,non-DEG,,
ENSG00000272825,F7/D6,0.0457,0.336,non-DEG,,
ENSG00000272841,F7/D6,0.000133,-0.767,non-DEG,MAP3K4-AS1,
ENSG00000272853,F7/D6,0.0293,0.434,non-DEG,SUV39H2-DT,
ENSG00000272870,F7/D6,0.00652,0.561,non-DEG,SAP30-DT,
ENSG00000272871,F7/D6,0.0631,-0.224,non-DEG,,
ENSG00000272894,F7/D6,0.00504,0.693,non-DEG,MIOS-DT,
ENSG00000272899,F7/D6,0.0666,0.322,non-DEG,ATP6V1FNB,
ENSG00000272908,F7/D6,0.00725,0.782,non-DEG,,
ENSG00000272913,F7/D6,0.0715,-0.218,non-DEG,,
ENSG00000272927,F7/D6,0.000374,1.079,up-regulate,,
ENSG00000272941,F7/D6,0.00104,-0.558,non-DEG,,
ENSG00000272942,F7/D6,0.0169,1.154,up-regulate,,
ENSG00000272949,F7/D6,0.118,0.526,non-DEG,NA,
ENSG00000272966,F7/D6,0.0492,-0.668,non-DEG,,
ENSG00000272967,F7/D6,0.0296,0.76,up-regulate,,
ENSG00000272977,F7/D6,0.00776,0.385,non-DEG,,
ENSG00000272983,F7/D6,5.42E-05,0.892,non-DEG,,
ENSG00000272990,F7/D6,0.000481,-0.786,non-DEG,,
ENSG00000273002,F7/D6,0.0407,0.334,non-DEG,ARHGEF2-AS2,
ENSG00000273007,F7/D6,0.0207,-0.524,non-DEG,,
ENSG00000273008,F7/D6,0.0212,0.564,non-DEG,CSGALNACT2-DT,
ENSG00000273015,F7/D6,0.00151,0.288,non-DEG,,
ENSG00000273018,F7/D6,8.66E-07,2.901,up-regulate,FAM106A,
ENSG00000273033,F7/D6,0.104,0.211,non-DEG,LINC02035,
ENSG00000273055,F7/D6,0.115,0.679,non-DEG,,
ENSG00000273062,F7/D6,0.106,0.401,non-DEG,RALGPS2-AS1,
ENSG00000273084,F7/D6,0.00884,-1.002,down-regulate,,
ENSG00000273117,F7/D6,0.094,0.216,non-DEG,INSIG1-DT,
ENSG00000273151,F7/D6,0.00647,0.278,non-DEG,,
ENSG00000273154,F7/D6,0.0235,-0.524,non-DEG,,
ENSG00000273203,F7/D6,9.39E-07,-2.669,down-regulate,,
ENSG00000273230,F7/D6,0.0221,0.45,non-DEG,,
ENSG00000273237,F7/D6,0.0403,-0.369,non-DEG,NA,
ENSG00000273253,F7/D6,0.113,0.3,non-DEG,,
ENSG00000273270,F7/D6,0.0108,0.375,non-DEG,,
ENSG00000273319,F7/D6,0.0105,-0.256,non-DEG,,
ENSG00000273320,F7/D6,0.019,-0.403,non-DEG,,
ENSG00000273329,F7/D6,0.0088,0.28,non-DEG,,
ENSG00000273344,F7/D6,0.0745,0.176,non-DEG,PAXIP1-DT,
ENSG00000273350,F7/D6,0.122,0.399,non-DEG,,
ENSG00000273361,F7/D6,0.165,-0.386,non-DEG,,
ENSG00000273363,F7/D6,0.0442,0.844,non-DEG,,
ENSG00000273373,F7/D6,0.0244,0.252,non-DEG,,
ENSG00000273374,F7/D6,0.00295,0.827,up-regulate,,
ENSG00000273384,F7/D6,0.0162,1.154,up-regulate,,
ENSG00000273391,F7/D6,0.0109,-0.723,down-regulate,,
ENSG00000273432,F7/D6,0.0818,0.459,non-DEG,,
ENSG00000273443,F7/D6,0.0974,0.3,non-DEG,,
ENSG00000273449,F7/D6,0.279,-0.204,non-DEG,,
ENSG00000273450,F7/D6,0.295,0.365,non-DEG,,
ENSG00000273464,F7/D6,0.0915,-0.689,non-DEG,,
ENSG00000273486,F7/D6,0.00572,0.45,non-DEG,,
ENSG00000273496,F7/D6,0.0205,-1.156,down-regulate,NA,
ENSG00000273521,F7/D6,0.0132,0.541,non-DEG,,
ENSG00000273541,F7/D6,0.0518,-0.359,non-DEG,,
ENSG00000273542,F7/D6,0.0005,-0.534,non-DEG,H4C12,
ENSG00000273559,F7/D6,0.0687,-0.128,non-DEG,CWC25,
ENSG00000273576,F7/D6,0.082,-0.275,non-DEG,,
ENSG00000273590,F7/D6,0.0487,0.235,non-DEG,,
ENSG00000273599,F7/D6,0.0521,-0.481,non-DEG,,
ENSG00000273604,F7/D6,0.00485,-0.324,non-DEG,EPOP,
ENSG00000273619,F7/D6,0.173,0.34,non-DEG,,
ENSG00000273654,F7/D6,1.43E-05,1.759,up-regulate,,
ENSG00000273702,F7/D6,0.0213,-0.392,non-DEG,,
ENSG00000273703,F7/D6,0.00112,-0.552,non-DEG,H2BC14,
ENSG00000273709,F7/D6,0.00511,0.836,non-DEG,U2,
ENSG00000273723,F7/D6,0.0236,0.382,non-DEG,SUGT1-DT,
ENSG00000273727,F7/D6,0.304,0.369,non-DEG,U1,
ENSG00000273730,F7/D6,0.164,-0.268,non-DEG,5_8S_rRNA,
ENSG00000273748,F7/D6,0.17,0.201,non-DEG,,
ENSG00000273749,F7/D6,0.143,0.076,non-DEG,CYFIP1,
ENSG00000273783,F7/D6,0.0805,-0.42,non-DEG,,
ENSG00000273802,F7/D6,1.29E-05,-0.607,non-DEG,H2BC8,
ENSG00000273812,F7/D6,0.0652,0.404,non-DEG,,
ENSG00000273820,F7/D6,0.0126,0.436,non-DEG,USP27X,
ENSG00000273824,F7/D6,7.80E-06,1.239,up-regulate,,
ENSG00000273888,F7/D6,0.207,-0.434,non-DEG,FRMD6-AS1,
ENSG00000273897,F7/D6,0.0135,0.378,non-DEG,PMS2P8,
ENSG00000273983,F7/D6,0.00229,-0.313,non-DEG,H3C8,
ENSG00000274001,F7/D6,0.0541,0.569,non-DEG,,
ENSG00000274012,F7/D6,0.26,-0.278,non-DEG,RN7SL2,
ENSG00000274020,F7/D6,0.00154,-0.519,non-DEG,LINC01138,
ENSG00000274026,F7/D6,0.000447,0.58,non-DEG,FAM27E3,
ENSG00000274029,F7/D6,0.00736,-0.989,down-regulate,,
ENSG00000274038,F7/D6,0.0127,0.892,non-DEG,,
ENSG00000274062,F7/D6,0.0132,0.919,up-regulate,U2,
ENSG00000274100,F7/D6,0.00156,1.177,up-regulate,NA,
ENSG00000274210,F7/D6,0.016,-0.475,non-DEG,RNVU1-27,
ENSG00000274267,F7/D6,0.0017,-0.215,non-DEG,NA,
ENSG00000274276,F7/D6,0.109,0.11,non-DEG,,
ENSG00000274290,F7/D6,0.184,0.088,non-DEG,H2BC6,
ENSG00000274292,F7/D6,0.0778,-0.027,non-DEG,,
ENSG00000274315,F7/D6,0.123,-0.259,non-DEG,,
ENSG00000274322,F7/D6,0.0879,0.299,non-DEG,,
ENSG00000274330,F7/D6,2.09E-05,-2.419,down-regulate,,
ENSG00000274333,F7/D6,0.00481,-0.434,non-DEG,,
ENSG00000274340,F7/D6,0.159,0.485,non-DEG,,
ENSG00000274349,F7/D6,0.0932,0.328,non-DEG,ZNF658,
ENSG00000274354,F7/D6,0.0552,0.49,non-DEG,,
ENSG00000274372,F7/D6,0.225,-0.417,non-DEG,LINC02804,
ENSG00000274425,F7/D6,0.0194,0.278,non-DEG,,
ENSG00000274460,F7/D6,0.039,0.323,non-DEG,,
ENSG00000274461,F7/D6,0.0714,0.592,non-DEG,LINC02930,
ENSG00000274471,F7/D6,0.0912,-0.302,non-DEG,HERC2P7,
ENSG00000274536,F7/D6,0.0615,-1.568,down-regulate,MIR223HG,
ENSG00000274554,F7/D6,0.294,0.204,non-DEG,,
ENSG00000274561,F7/D6,0.044,0.505,non-DEG,,
ENSG00000274602,F7/D6,0.0375,-0.216,non-DEG,PI4KAP1,
ENSG00000274605,F7/D6,0.252,0.209,non-DEG,PCCA-DT,
ENSG00000274641,F7/D6,0.00156,-0.208,non-DEG,H2BC17,
ENSG00000274717,F7/D6,0.0571,0.69,non-DEG,,
ENSG00000274737,F7/D6,0.107,0.596,non-DEG,,
ENSG00000274750,F7/D6,0.035,0.213,non-DEG,H3C6,
ENSG00000274767,F7/D6,6.70E-05,1.679,up-regulate,,
ENSG00000274791,F7/D6,0.183,-0.241,non-DEG,NA,
ENSG00000274862,F7/D6,0.0122,0.951,up-regulate,U2,
ENSG00000274902,F7/D6,0.0274,-0.971,down-regulate,,
ENSG00000274911,F7/D6,3.87E-05,1.168,up-regulate,NA,
ENSG00000274917,F7/D6,0.0939,-0.256,non-DEG,RNA5-8SN5,
ENSG00000274925,F7/D6,0.0971,0.177,non-DEG,ZKSCAN2-DT,
ENSG00000274929,F7/D6,0.00654,-0.813,down-regulate,,
ENSG00000274937,F7/D6,0.00783,1.182,up-regulate,,
ENSG00000274979,F7/D6,0.0221,-0.907,down-regulate,,
ENSG00000274997,F7/D6,0.000331,-0.256,non-DEG,H2AC12,
ENSG00000275004,F7/D6,0.00293,0.55,non-DEG,ZNF280B,
ENSG00000275023,F7/D6,0.00635,-0.155,non-DEG,MLLT6,
ENSG00000275066,F7/D6,0.00217,-0.242,non-DEG,SYNRG,
ENSG00000275070,F7/D6,0.0399,0.656,non-DEG,Metazoa_SRP,
ENSG00000275092,F7/D6,0.0779,0.479,non-DEG,,
ENSG00000275140,F7/D6,0.0354,-0.24,non-DEG,SEC22B3P,
ENSG00000275143,F7/D6,0.249,0.213,non-DEG,SCARNA16,
ENSG00000275160,F7/D6,0.00183,1.597,up-regulate,,
ENSG00000275198,F7/D6,0.0602,0.404,non-DEG,,
ENSG00000275215,F7/D6,0.166,-0.16,non-DEG,RNA5-8SN3,
ENSG00000275219,F7/D6,0.0147,0.926,up-regulate,U2,
ENSG00000275239,F7/D6,0.00442,0.878,up-regulate,FAM242F,
ENSG00000275278,F7/D6,0.00372,-0.776,non-DEG,,
ENSG00000275294,F7/D6,0.0313,-0.586,non-DEG,LINC02340,
ENSG00000275297,F7/D6,0.00161,0.826,non-DEG,,
ENSG00000275302,F7/D6,6.18E-06,0.872,non-DEG,CCL4,
ENSG00000275342,F7/D6,5.09E-05,-0.585,non-DEG,PRAG1,
ENSG00000275379,F7/D6,0.00397,-0.218,non-DEG,H3C11,
ENSG00000275395,F7/D6,0.0421,-0.297,non-DEG,FCGBP,
ENSG00000275410,F7/D6,4.30E-07,-1.37,down-regulate,HNF1B,
ENSG00000275418,F7/D6,0.0236,0.276,non-DEG,,
ENSG00000275449,F7/D6,0.0445,0.71,non-DEG,MIR6859-3,
ENSG00000275464,F7/D6,0.00614,0.264,non-DEG,,
ENSG00000275476,F7/D6,0.0681,-0.658,non-DEG,,
ENSG00000275494,F7/D6,0.113,0.61,non-DEG,,
ENSG00000275700,F7/D6,0.0708,-0.087,non-DEG,AATF,
ENSG00000275713,F7/D6,0.00317,-0.424,non-DEG,H2BC9,
ENSG00000275714,F7/D6,0.00198,-0.284,non-DEG,H3C1,
ENSG00000275720,F7/D6,0.152,0.45,non-DEG,,
ENSG00000275757,F7/D6,0.0567,-0.36,non-DEG,5_8S_rRNA,
ENSG00000275778,F7/D6,0.0622,-0.526,non-DEG,,
ENSG00000275793,F7/D6,0.131,-0.265,non-DEG,RIMBP3,
ENSG00000275832,F7/D6,0.00642,-0.561,non-DEG,ARHGAP23,
ENSG00000275846,F7/D6,0.0192,-0.571,non-DEG,,
ENSG00000275880,F7/D6,0.171,-0.271,non-DEG,,
ENSG00000275964,F7/D6,0.0821,0.257,non-DEG,,
ENSG00000275993,F7/D6,2.37E-06,-0.946,non-DEG,,
ENSG00000276007,F7/D6,0.0174,0.567,non-DEG,,
ENSG00000276032,F7/D6,0.00334,0.785,non-DEG,NA,
ENSG00000276070,F7/D6,2.49E-06,1.081,up-regulate,CCL4L2,
ENSG00000276071,F7/D6,0.123,-0.241,non-DEG,,
ENSG00000276085,F7/D6,5.40E-09,1.7,up-regulate,CCL3L1,
ENSG00000276136,F7/D6,0.0198,-0.531,non-DEG,,
ENSG00000276141,F7/D6,0.000389,0.4,non-DEG,WHAMMP3,
ENSG00000276168,F7/D6,0.141,-0.368,non-DEG,RN7SL1,
ENSG00000276180,F7/D6,0.00576,-0.316,non-DEG,H4C9,
ENSG00000276216,F7/D6,0.123,-0.409,non-DEG,,
ENSG00000276232,F7/D6,0.0168,-0.166,non-DEG,,
ENSG00000276234,F7/D6,0.169,-0.12,non-DEG,TADA2A,
ENSG00000276248,F7/D6,0.274,0.176,non-DEG,,
ENSG00000276256,F7/D6,3.77E-06,-0.97,down-regulate,,
ENSG00000276291,F7/D6,0.000308,0.551,non-DEG,FRG1HP,
ENSG00000276317,F7/D6,0.106,-0.263,non-DEG,,
ENSG00000276334,F7/D6,0.08,0.255,non-DEG,,
ENSG00000276345,F7/D6,0.0116,0.303,non-DEG,,
ENSG00000276368,F7/D6,0.00066,-0.419,non-DEG,H2AC14,
ENSG00000276445,F7/D6,0.102,0.615,non-DEG,,
ENSG00000276462,F7/D6,0.0106,1.83,up-regulate,,
ENSG00000276509,F7/D6,0.0249,-1.145,down-regulate,,
ENSG00000276545,F7/D6,0.0827,-0.591,non-DEG,PCDHGB9P,
ENSG00000276566,F7/D6,0.00229,1.636,up-regulate,IGKV1D-13,
ENSG00000276596,F7/D6,0.00597,1.018,up-regulate,U2,
ENSG00000276649,F7/D6,6.40E-05,1.472,up-regulate,,
ENSG00000276663,F7/D6,0.0795,0.476,non-DEG,,
ENSG00000276700,F7/D6,0.245,-0.215,non-DEG,RNA5-8SN4,
ENSG00000276710,F7/D6,0.000318,0.672,non-DEG,CSPG4P10,
ENSG00000276727,F7/D6,0.0434,-0.387,non-DEG,,
ENSG00000276842,F7/D6,0.0164,0.478,non-DEG,,
ENSG00000276867,F7/D6,0.0566,-0.595,non-DEG,,
ENSG00000276903,F7/D6,0.00377,-0.492,non-DEG,H2AC16,
ENSG00000276966,F7/D6,0.0114,-0.272,non-DEG,H4C5,
ENSG00000277075,F7/D6,0.00133,-0.466,non-DEG,H2AC8,
ENSG00000277117,F7/D6,0.138,-0.08,non-DEG,,
ENSG00000277125,F7/D6,0.00787,0.369,non-DEG,PMS2P14,
ENSG00000277142,F7/D6,0.0233,0.259,non-DEG,LINC00235,
ENSG00000277147,F7/D6,0.0163,-0.293,non-DEG,LINC00869,
ENSG00000277149,F7/D6,0.000568,0.427,non-DEG,TYW1B,
ENSG00000277150,F7/D6,0.00494,-0.444,non-DEG,F8A3,
ENSG00000277203,F7/D6,0.0131,0.277,non-DEG,NA,
ENSG00000277209,F7/D6,6.18E-06,0.859,up-regulate,RPPH1,
ENSG00000277224,F7/D6,0.00166,-0.269,non-DEG,H2BC7,
ENSG00000277232,F7/D6,0.385,0.331,non-DEG,GTSE1-DT,
ENSG00000277245,F7/D6,0.115,-0.536,non-DEG,,
ENSG00000277258,F7/D6,0.258,0.215,non-DEG,PCGF2,
ENSG00000277277,F7/D6,0.0493,0.572,non-DEG,,
ENSG00000277287,F7/D6,0.0966,-0.434,non-DEG,,
ENSG00000277290,F7/D6,0.139,0.257,non-DEG,,
ENSG00000277301,F7/D6,0.00206,1.408,up-regulate,,
